,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
62,"[sulfonyl]urea-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,286.71,8.6581,30.2,9.2031,,
63,"[sulfonyl]urea-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,280.18,7.7667,27.7,8.3023,,
64,"[thio]carbamate-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,206.46,6.5293,31.6,6.9833,,
65,"[thio]carbamate-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,201.58,5.8682,29.1,6.3161,,
68,"acetamide-anillide-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,234.75,7.7411,33,8.1554,,
69,"acetamide-anillide-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,229.31,7.0065,30.6,7.418,,
70,"alachlor, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,242.95,8.0684,33.2,8.4931,,
71,"alachlor, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,236.89,7.254,30.6,7.6722,,
72,"atrazine, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,181.66,4.8419,26.7,5.2319,,
73,"atrazine, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,178.87,4.4683,25,4.8611,,
74,"benzimidazole-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,350.81,12.426,35.4,13.102,,
75,"benzimidazole-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,342.58,11.308,33,11.99,,
76,"benzo[thia]diazole-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,381.18,12.685,33.3,13.374,,
77,"benzo[thia]diazole-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,373.13,11.601,31.1,12.298,,
78,"benzoic-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,212.48,5.6742,26.7,6.0906,,
79,"benzoic-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,207.52,4.997,24.1,5.3979,,
80,"bipyridylium-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,353.27,14.117,40,14.772,,
81,"bipyridylium-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,345.78,13.215,38.2,13.907,,
82,"carbofuran, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,397.19,13.331,33.6,14.045,,
