,selected LCI results,,,,,ICDataset-ID,,1571,
,Ecoinvent 2,,,,,Name,Total fossil + nuclear,"CO2, fossil",Ratio
,,,,,,Location,non renewable,air,gCO2 fossil per 
,,,,,,Unit,primary energy,GLO,MJ non renewable primary energy
,,,,,,Ecocat,MJ/Unit,kgCO2 fossil/Unit,"gCO2,fossil/MJ"
,,,,,,Ecosubcat,,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue2,Column3
3,"dried roughage store, air dried, solar, operation",CH,kg,0,agricultural means of production,buildings,1.08,0.030358,28.1
5,"dried roughage store, cold-air dried, conventional, operation",CH,kg,0,agricultural means of production,buildings,1.41,0.032982,23.4
7,"dried roughage store, non ventilated, operation",CH,kg,0,agricultural means of production,buildings,0.22,0.013927,63.3
10,"housing system with fully-slatted floor, pig, operation",CH,pig place,0,agricultural means of production,buildings,2305.77,55.615,24.1
12,"label housing system, pig, operation",CH,pig place,0,agricultural means of production,buildings,596.68,33.07,55.4
14,"loose housing system, cattle, operation",CH,LU,0,agricultural means of production,buildings,13093.3,390.4,29.8
18,"slurry store and processing, operation",CH,m3,0,agricultural means of production,buildings,3.43,0.051709,15.1
20,"tied housing system, cattle, operation",CH,LU,0,agricultural means of production,buildings,12126.6,413.52,34.1
22,"barley IP, at feed mill",CH,kg,0,agricultural means of production,feed,4.02,0.21046,52.4
23,"barley organic, at feed mill",CH,kg,0,agricultural means of production,feed,3.23,0.17413,53.9
24,"fava beans IP, at feed mill",CH,kg,0,agricultural means of production,feed,6.14,0.33005,53.8
25,"grain maize IP, at feed mill",CH,kg,0,agricultural means of production,feed,4.9,0.26874,54.8
26,"grain maize organic, at feed mill",CH,kg,0,agricultural means of production,feed,4.2,0.23426,55.8
27,"protein peas IP, at feed mill",CH,kg,0,agricultural means of production,feed,6.25,0.33232,53.2
28,"rye IP, at feed mill",CH,kg,0,agricultural means of production,feed,3.58,0.18665,52.1
